Activator,Pd Source,Ligand,Solvent,Ligand (mol%),No. of vinyl groups
TMSOK,Pd(dba)2,dppbO,DMF,0.5,0.5
TMSOK,APC,PPh3,Dioxane,0.5,1
CsOH,Pd(dba)2,AsPh3,Dioxane,1,1
CsOH,APC,AsPh3,Dioxane,0.5,0.5
TMSOK,Pd(dba)2,AsPh3,Dioxane,0.5,1
TMSOK,Pd(dba)2,dppbO2,Dioxane,0.5,1
TMSOK,Pd(dba)2,dppb,DMF,0,1
TMSOK,Pd(dba)2,dppbO,THF,1,0.5
TMSOK,Pd(dba)2,PPh3,DMF,1,0.5
TMSOK,Pd(dba)2,AsPh3,DMF,0,0.5
TMSOK,Pd(dba)2,dppb,THF,0.5,1
CsOH,APC,AsPh3,Dioxane,1,1
TMSOK,APC,dppbO2,DMF,1,0.5
TMSOK,APC,dppb,THF,0,1
CsOH,Pd(dba)2,dppbO2,Dioxane,0.5,1
TMSOK,APC,dppbO2,DMF,1,1
TMSOK,APC,dppbO2,THF,0,0.5
TMSOK,APC,PPh3,DMF,0,1
CsOH,Pd(dba)2,dppb,Dioxane,0.5,1
CsOH,Pd(dba)2,PPh3,DMF,0.5,1
TMSOK,APC,dppb,THF,0.5,0.5
TMSOK,Pd(dba)2,dppb,DMF,0.5,1
TMSOK,APC,AsPh3,THF,0,1
CsOH,Pd(dba)2,dppbO,Dioxane,0,1
TMSOK,APC,dppbO,Dioxane,1,1
TMSOK,Pd(dba)2,dppbO,DMF,0,1
CsOH,Pd(dba)2,AsPh3,THF,0.5,0.5
CsOH,Pd(dba)2,dppbO2,Dioxane,0.5,1
TMSOK,Pd(dba)2,dppbO,THF,0,0.5
TMSOK,APC,PPh3,THF,1,0.5
TMSOK,APC,dppbO,DMF,0,1
TMSOK,APC,dppb,THF,0,0.5
CsOH,Pd(dba)2,AsPh3,Dioxane,0,0.5
TMSOK,Pd(dba)2,AsPh3,Dioxane,0.5,0.5
TMSOK,APC,AsPh3,THF,1,0.5
TMSOK,APC,dppb,Dioxane,1,0.5
TMSOK,APC,PPh3,DMF,1,1
TMSOK,Pd(dba)2,PPh3,THF,0.5,0.5
CsOH,Pd(dba)2,AsPh3,DMF,0.5,1
TMSOK,APC,dppbO2,DMF,0.5,1
TMSOK,Pd(dba)2,PPh3,Dioxane,0.5,1
TMSOK,APC,dppbO2,Dioxane,0.5,1
TMSOK,APC,PPh3,DMF,0.5,0.5
CsOH,APC,dppb,DMF,1,0.5
CsOH,Pd(dba)2,dppb,Dioxane,1,1
CsOH,Pd(dba)2,AsPh3,Dioxane,0.5,0.5
CsOH,Pd(dba)2,PPh3,Dioxane,0.5,1
CsOH,APC,AsPh3,Dioxane,0.5,1
TMSOK,Pd(dba)2,PPh3,THF,0,1
CsOH,Pd(dba)2,AsPh3,THF,0.5,1
CsOH,APC,dppbO2,THF,0.5,0.5
CsOH,Pd(dba)2,PPh3,Dioxane,0.5,1
TMSOK,Pd(dba)2,AsPh3,THF,0.5,1
