Activator,Pd Source,Ligand,Solvent,Ligand (mol%),No. of vinyl groups,12 h yield (%)
TMSOK,Pd(dba)2,dppbO,DMF,5,1,16
TMSOK,APC,PPh3,Dioxane,5,2,4
CsOH,Pd(dba)2,AsPh3,Dioxane,10,2,44
CsOH,APC,AsPh3,Dioxane,5,1,10
TMSOK,Pd(dba)2,AsPh3,Dioxane,5,2,27
TMSOK,Pd(dba)2,dppbO2,Dioxane,5,2,21
TMSOK,Pd(dba)2,dppb,DMF,0,2,89
TMSOK,Pd(dba)2,dppbO,THF,10,1,31
TMSOK,Pd(dba)2,PPh3,DMF,10,1,14
TMSOK,Pd(dba)2,AsPh3,DMF,0,1,52
TMSOK,Pd(dba)2,dppb,THF,5,2,8
CsOH,APC,AsPh3,Dioxane,10,2,9
TMSOK,APC,dppbO2,DMF,10,1,38
TMSOK,APC,dppb,THF,0,2,77
CsOH,Pd(dba)2,dppbO2,Dioxane,5,2,20
TMSOK,APC,dppbO2,DMF,10,2,68
TMSOK,APC,dppbO2,THF,0,1,43
TMSOK,APC,PPh3,DMF,0,2,52
CsOH,Pd(dba)2,dppb,Dioxane,5,2,3
CsOH,Pd(dba)2,PPh3,DMF,5,2,12
TMSOK,APC,dppb,THF,5,1,25
TMSOK,Pd(dba)2,dppb,DMF,5,2,27
TMSOK,APC,AsPh3,THF,0,2,47
CsOH,Pd(dba)2,dppbO,Dioxane,0,2,11
TMSOK,APC,dppbO,Dioxane,10,2,18
TMSOK,Pd(dba)2,dppbO,DMF,0,2,85
CsOH,Pd(dba)2,AsPh3,THF,5,1,15
CsOH,Pd(dba)2,dppbO2,Dioxane,5,2,12
TMSOK,Pd(dba)2,dppbO,THF,0,1,14
TMSOK,APC,PPh3,THF,10,1,29
TMSOK,APC,dppbO,DMF,0,2,86
TMSOK,APC,dppb,THF,0,1,35
CsOH,Pd(dba)2,AsPh3,Dioxane,0,1,19
TMSOK,Pd(dba)2,AsPh3,Dioxane,5,1,21
TMSOK,APC,AsPh3,THF,10,1,71
TMSOK,APC,dppb,Dioxane,10,1,25
TMSOK,APC,PPh3,DMF,10,2,52
TMSOK,Pd(dba)2,PPh3,THF,5,1,17
CsOH,Pd(dba)2,AsPh3,DMF,5,2,72
TMSOK,APC,dppbO2,DMF,5,2,98
TMSOK,Pd(dba)2,PPh3,Dioxane,5,2,11
TMSOK,APC,dppbO2,Dioxane,5,2,27
TMSOK,APC,PPh3,DMF,5,1,53
CsOH,APC,dppb,DMF,10,1,2
CsOH,Pd(dba)2,dppb,Dioxane,10,2,0
CsOH,Pd(dba)2,AsPh3,Dioxane,5,1,30
CsOH,Pd(dba)2,PPh3,Dioxane,5,2,4
CsOH,APC,AsPh3,Dioxane,5,2,13
TMSOK,Pd(dba)2,PPh3,THF,0,2,53
CsOH,Pd(dba)2,AsPh3,THF,5,2,22
CsOH,APC,dppbO2,THF,5,1,35
CsOH,Pd(dba)2,PPh3,Dioxane,5,2,21
TMSOK,Pd(dba)2,AsPh3,THF,5,2,70
TMSOK,Pd(dba)2,AsPh3,Dioxane,10,2,31
CsOH,Pd(dba)2,dppbO,Dioxane,5,1,4
TMSOK,APC,dppb,DMF,10,2,3
TMSOK,Pd(dba)2,AsPh3,Dioxane,5,2,48
TMSOK,APC,dppbO2,Dioxane,10,2,41
TMSOK,APC,dppbO,DMF,10,1,31
TMSOK,Pd(dba)2,dppbO,Dioxane,5,2,8
CsOH,Pd(dba)2,dppbO,Dioxane,10,2,2
CsOH,APC,AsPh3,Dioxane,10,2,28
CsOH,Pd(dba)2,dppbO,THF,10,2,8
TMSOK,APC,dppbO2,THF,0,2,85
TMSOK,Pd(dba)2,dppbO2,Dioxane,10,1,25
CsOH,APC,dppb,THF,10,2,10
TMSOK,Pd(dba)2,dppb,Dioxane,0,2,30
CsOH,APC,AsPh3,Dioxane,5,2,22
TMSOK,APC,dppbO2,DMF,0,1,85
TMSOK,Pd(dba)2,dppbO2,Dioxane,0,2,63
CsOH,APC,AsPh3,THF,5,2,12
CsOH,APC,PPh3,THF,10,1,10
TMSOK,APC,AsPh3,THF,10,1,30
TMSOK,Pd(dba)2,PPh3,Dioxane,10,1,9
TMSOK,Pd(dba)2,dppb,THF,10,1,5
CsOH,APC,AsPh3,DMF,5,2,8
CsOH,Pd(dba)2,AsPh3,THF,0,2,72
CsOH,APC,dppbO,DMF,0,1,27
TMSOK,APC,dppb,DMF,0,1,78
TMSOK,APC,dppbO,DMF,5,2,32
CsOH,APC,PPh3,Dioxane,5,1,16
TMSOK,APC,PPh3,THF,5,2,65
CsOH,Pd(dba)2,PPh3,THF,5,2,11
TMSOK,Pd(dba)2,dppbO2,THF,10,2,74
TMSOK,Pd(dba)2,dppbO2,THF,5,1,72
TMSOK,Pd(dba)2,dppbO2,DMF,0,1,83
CsOH,APC,dppb,Dioxane,5,2,2
TMSOK,APC,dppbO,Dioxane,0,1,40
TMSOK,Pd(dba)2,PPh3,Dioxane,0,1,93
CsOH,Pd(dba)2,AsPh3,DMF,10,2,24
TMSOK,APC,dppb,THF,10,2,1
