Std,Run,Activator,Donor,Pd Source,Ligand,Solvent,Ligand (mol%),No. of vinyl groups,1 h yield (%),3 h yield (%),12 h yield (%)
84,1,TMSOK,DVDS,Pd(dba)2,dppbO,DMF,5,1,5,12,16
80,2,TMSOK,DMVSOEt,APC,PPh3,Dioxane,5,2,1,4,4
53,3,CsOH,DMVSOEt,Pd(dba)2,AsPh3,Dioxane,10,2,3,14,44
65,4,CsOH,D4V,APC,AsPh3,Dioxane,5,1,0,2,10
15,5,TMSOK,DVDS,Pd(dba)2,AsPh3,Dioxane,5,2,4,16,27
21,6,TMSOK,D4V,Pd(dba)2,dppbO2,Dioxane,5,2,10,16,21
49,7,TMSOK,DMVSOEt,Pd(dba)2,dppb,DMF,0,2,50,85,89
57,8,TMSOK,DMVSOEt,Pd(dba)2,dppbO,THF,10,1,1,5,31
38,9,TMSOK,DMVSOEt,Pd(dba)2,PPh3,DMF,10,1,3,6,14
86,10,TMSOK,HVDS,Pd(dba)2,AsPh3,DMF,0,1,23,39,52
23,11,TMSOK,D4V,Pd(dba)2,dppb,THF,5,2,0,1,8
64,12,CsOH,D4V,APC,AsPh3,Dioxane,10,2,0,1,9
40,13,TMSOK,D4V,APC,dppbO2,DMF,10,1,3,27,38
93,14,TMSOK,HVDS,APC,dppb,THF,0,2,58,74,77
39,15,CsOH,HVDS,Pd(dba)2,dppbO2,Dioxane,5,2,1,5,20
2,16,TMSOK,DVDS,APC,dppbO2,DMF,10,2,53,67,68
73,17,TMSOK,HVDS,APC,dppbO2,THF,0,1,32,38,43
20,18,TMSOK,D4V,APC,PPh3,DMF,0,2,23,43,52
34,19,CsOH,DVDS,Pd(dba)2,dppb,Dioxane,5,2,1,1,3
68,20,CsOH,D4V,Pd(dba)2,PPh3,DMF,5,2,1,2,12
81,21,TMSOK,HVDS,APC,dppb,THF,5,1,12,19,25
67,22,TMSOK,HVDS,Pd(dba)2,dppb,DMF,5,2,2,5,27
33,23,TMSOK,DVDS,APC,AsPh3,THF,0,2,15,40,47
74,24,CsOH,D4V,Pd(dba)2,dppbO,Dioxane,0,2,2,4,11
30,25,TMSOK,DVDS,APC,dppbO,Dioxane,10,2,3,6,18
66,26,TMSOK,HVDS,Pd(dba)2,dppbO,DMF,0,2,37,61,85
91,27,CsOH,D4V,Pd(dba)2,AsPh3,THF,5,1,4,16,15
8,28,CsOH,D4V,Pd(dba)2,dppbO2,Dioxane,5,2,2,6,12
50,29,TMSOK,D4V,Pd(dba)2,dppbO,THF,0,1,7,10,14
69,30,TMSOK,D4V,APC,PPh3,THF,10,1,2,7,29
32,31,TMSOK,DVDS,APC,dppbO,DMF,0,2,88,84,86
9,32,TMSOK,DVDS,APC,dppb,THF,0,1,23,32,35
92,33,CsOH,D4V,Pd(dba)2,AsPh3,Dioxane,0,1,3,27,19
26,34,TMSOK,D4V,Pd(dba)2,AsPh3,Dioxane,5,1,11,16,21
45,35,TMSOK,DMVSOEt,APC,AsPh3,THF,10,1,61,71,71
10,36,TMSOK,DMVSOEt,APC,dppb,Dioxane,10,1,0,9,25
54,37,TMSOK,HVDS,APC,PPh3,DMF,10,2,5,10,52
63,38,TMSOK,DMVSOEt,Pd(dba)2,PPh3,THF,5,1,1,2,17
43,39,CsOH,DVDS,Pd(dba)2,AsPh3,DMF,5,2,60,70,72
51,40,TMSOK,HVDS,APC,dppbO2,DMF,5,2,70,93,98
59,41,TMSOK,HVDS,Pd(dba)2,PPh3,Dioxane,5,2,6,11,11
11,42,TMSOK,DVDS,APC,dppbO2,Dioxane,5,2,3,15,27
24,43,TMSOK,DVDS,APC,PPh3,DMF,5,1,27,48,53
6,44,CsOH,DVDS,APC,dppb,DMF,10,1,1,2,2
79,45,CsOH,D4V,Pd(dba)2,dppb,Dioxane,10,2,0,0,0
55,46,CsOH,DVDS,Pd(dba)2,AsPh3,Dioxane,5,1,2,5,30
7,47,CsOH,D4V,Pd(dba)2,PPh3,Dioxane,5,2,0,1,4
5,48,CsOH,D4V,APC,AsPh3,Dioxane,5,2,0,3,13
44,49,TMSOK,DMVSOEt,Pd(dba)2,PPh3,THF,0,2,9,28,53
46,50,CsOH,DVDS,Pd(dba)2,AsPh3,THF,5,2,3,17,22
96,51,CsOH,DVDS,APC,dppbO2,THF,5,1,4,27,35
37,52,CsOH,DVDS,Pd(dba)2,PPh3,Dioxane,5,2,2,7,21
14,53,TMSOK,HVDS,Pd(dba)2,AsPh3,THF,5,2,37,61,70
25,54,TMSOK,D4V,Pd(dba)2,AsPh3,Dioxane,10,2,12,22,31
82,55,CsOH,D4V,Pd(dba)2,dppbO,Dioxane,5,1,1,1,4
4,56,TMSOK,D4V,APC,dppb,DMF,10,2,0,0,3
16,57,TMSOK,DMVSOEt,Pd(dba)2,AsPh3,Dioxane,5,2,30,44,48
42,58,TMSOK,DMVSOEt,APC,dppbO2,Dioxane,10,2,31,39,41
76,59,TMSOK,HVDS,APC,dppbO,DMF,10,1,13,20,31
18,60,TMSOK,D4V,Pd(dba)2,dppbO,Dioxane,5,2,2,4,8
78,61,CsOH,D4V,Pd(dba)2,dppbO,Dioxane,10,2,0,1,2
29,62,CsOH,DMVSOEt,APC,AsPh3,Dioxane,10,2,7,21,28
70,63,CsOH,D4V,Pd(dba)2,dppbO,THF,10,2,1,2,8
41,64,TMSOK,DMVSOEt,APC,dppbO2,THF,0,2,47,83,85
75,65,TMSOK,DMVSOEt,Pd(dba)2,dppbO2,Dioxane,10,1,33,34,25
98,66,CsOH,HVDS,APC,dppb,THF,10,2,1,2,10
19,67,TMSOK,D4V,Pd(dba)2,dppb,Dioxane,0,2,17,27,30
27,68,CsOH,HVDS,APC,AsPh3,Dioxane,5,2,1,5,22
77,69,TMSOK,DMVSOEt,APC,dppbO2,DMF,0,1,70,86,85
60,70,TMSOK,HVDS,Pd(dba)2,dppbO2,Dioxane,0,2,26,49,63
62,71,CsOH,D4V,APC,AsPh3,THF,5,2,1,4,12
95,72,CsOH,HVDS,APC,PPh3,THF,10,1,3,3,10
35,73,TMSOK,DVDS,APC,AsPh3,THF,10,1,3,24,30
71,74,TMSOK,HVDS,Pd(dba)2,PPh3,Dioxane,10,1,2,2,9
17,75,TMSOK,HVDS,Pd(dba)2,dppb,THF,10,1,1,1,5
61,76,CsOH,D4V,APC,AsPh3,DMF,5,2,5,8,8
47,77,CsOH,DMVSOEt,Pd(dba)2,AsPh3,THF,0,2,28,67,72
94,78,CsOH,D4V,APC,dppbO,DMF,0,1,27,23,27
12,79,TMSOK,HVDS,APC,dppb,DMF,0,1,56,74,78
90,80,TMSOK,DMVSOEt,APC,dppbO,DMF,5,2,4,15,32
97,81,CsOH,HVDS,APC,PPh3,Dioxane,5,1,2,10,16
87,82,TMSOK,DVDS,APC,PPh3,THF,5,2,26,52,65
72,83,CsOH,D4V,Pd(dba)2,PPh3,THF,5,2,2,3,11
89,84,TMSOK,HVDS,Pd(dba)2,dppbO2,THF,10,2,50,70,74
48,85,TMSOK,DMVSOEt,Pd(dba)2,dppbO2,THF,5,1,67,72,72
85,86,TMSOK,DVDS,Pd(dba)2,dppbO2,DMF,0,1,59,80,83
58,87,CsOH,D4V,APC,dppb,Dioxane,5,2,1,1,2
3,88,TMSOK,DMVSOEt,APC,dppbO,Dioxane,0,1,28,43,40
