Activator,Donor,Pd Source,Ligand,Solvent,Ligand (mol%)
TMSOK,DVDS,Pd(dba)2,dppbO,DMF,0.5
TMSOK,DMVSOEt,APC,PPh3,Dioxane,0.5
CsOH,DMVSOEt,Pd(dba)2,AsPh3,Dioxane,1
CsOH,D4V,APC,AsPh3,Dioxane,0.5
TMSOK,DVDS,Pd(dba)2,AsPh3,Dioxane,0.5
TMSOK,D4V,Pd(dba)2,dppbO2,Dioxane,0.5
TMSOK,DMVSOEt,Pd(dba)2,dppb,DMF,0
TMSOK,DMVSOEt,Pd(dba)2,dppbO,THF,1
TMSOK,DMVSOEt,Pd(dba)2,PPh3,DMF,1
TMSOK,HVDS,Pd(dba)2,AsPh3,DMF,0
TMSOK,D4V,Pd(dba)2,dppb,THF,0.5
CsOH,D4V,APC,AsPh3,Dioxane,1
TMSOK,D4V,APC,dppbO2,DMF,1
TMSOK,HVDS,APC,dppb,THF,0
CsOH,HVDS,Pd(dba)2,dppbO2,Dioxane,0.5
TMSOK,DVDS,APC,dppbO2,DMF,1
TMSOK,HVDS,APC,dppbO2,THF,0
TMSOK,D4V,APC,PPh3,DMF,0
CsOH,DVDS,Pd(dba)2,dppb,Dioxane,0.5
CsOH,D4V,Pd(dba)2,PPh3,DMF,0.5
TMSOK,HVDS,APC,dppb,THF,0.5
TMSOK,HVDS,Pd(dba)2,dppb,DMF,0.5
TMSOK,DVDS,APC,AsPh3,THF,0
CsOH,D4V,Pd(dba)2,dppbO,Dioxane,0
TMSOK,DVDS,APC,dppbO,Dioxane,1
TMSOK,HVDS,Pd(dba)2,dppbO,DMF,0
CsOH,D4V,Pd(dba)2,AsPh3,THF,0.5
CsOH,D4V,Pd(dba)2,dppbO2,Dioxane,0.5
TMSOK,D4V,Pd(dba)2,dppbO,THF,0
TMSOK,D4V,APC,PPh3,THF,1
TMSOK,DVDS,APC,dppbO,DMF,0
TMSOK,DVDS,APC,dppb,THF,0
CsOH,D4V,Pd(dba)2,AsPh3,Dioxane,0
TMSOK,D4V,Pd(dba)2,AsPh3,Dioxane,0.5
TMSOK,DMVSOEt,APC,AsPh3,THF,1
TMSOK,DMVSOEt,APC,dppb,Dioxane,1
TMSOK,HVDS,APC,PPh3,DMF,1
TMSOK,DMVSOEt,Pd(dba)2,PPh3,THF,0.5
CsOH,DVDS,Pd(dba)2,AsPh3,DMF,0.5
TMSOK,HVDS,APC,dppbO2,DMF,0.5
TMSOK,HVDS,Pd(dba)2,PPh3,Dioxane,0.5
TMSOK,DVDS,APC,dppbO2,Dioxane,0.5
TMSOK,DVDS,APC,PPh3,DMF,0.5
CsOH,DVDS,APC,dppb,DMF,1
CsOH,D4V,Pd(dba)2,dppb,Dioxane,1
CsOH,DVDS,Pd(dba)2,AsPh3,Dioxane,0.5
CsOH,D4V,Pd(dba)2,PPh3,Dioxane,0.5
CsOH,D4V,APC,AsPh3,Dioxane,0.5
TMSOK,DMVSOEt,Pd(dba)2,PPh3,THF,0
CsOH,DVDS,Pd(dba)2,AsPh3,THF,0.5
CsOH,DVDS,APC,dppbO2,THF,0.5
CsOH,DVDS,Pd(dba)2,PPh3,Dioxane,0.5
TMSOK,HVDS,Pd(dba)2,AsPh3,THF,0.5
